"iyy","lat","lon","x_sum","y_sum","z_sum","x_3yr","y_3yr","z_3yr","lat_3yr","lon_3yr","events_per_year"
1970,30.6498725459418,-80.1789925693245,629.927655011422,-3638.93692601725,3247.87493922955,NA,NA,NA,NA,NA,651
1971,35.9719768154258,-62.4017806813023,1252.6191108682,-2396.2207493771,3742.25846850964,NA,NA,NA,NA,NA,470
1972,43.3143227108958,-13.0258938620929,3042.44175364764,-703.851442392287,4370.50765016979,1641.66283984242,-2246.33637259554,3786.88035263633,36.4694010466863,-53.8399966516114,494
1973,30.9078645621819,-24.0053724440732,3072.2213233325,-1368.1862518542,3272.52166329654,2356.94208158746,-1807.26131222487,3529.70100796643,33.6436689691042,-37.4803495971224,473
1974,30.6932751827566,-26.181793059476,2809.20734667471,-1381.19273102969,3252.02593969686,2583.07471413109,-1594.22702162728,3390.86347383165,32.1565288501342,-31.682134668183,580
1975,36.2671473741946,-23.0768295394223,2742.50181533243,-1168.4655345654,3768.77124973683,2662.78826473176,-1381.34627809634,3579.81736178424,34.1867806817169,-27.4184486469906,740
1976,34.3474671602596,-17.9131737174278,3199.38684156045,-1034.18621380365,3594.58346074363,2931.0875531461,-1207.76624595,3587.20041126394,34.2670855420701,-22.3943042584218,923
1977,35.7380956678731,-5.97892531378711,3481.48833003541,-364.624501865721,3721.18025787666,3206.28794159076,-786.195373907858,3654.1903345703,34.9992848356682,-13.7773392063484,1319
1978,27.5110128191943,-24.8590951709928,2789.89501949002,-1292.60601797435,2942.8865670929,2998.09148054039,-1039.4006959411,3298.5384508316,31.1809546595422,-19.1207894632193,1526
1979,26.2974047207898,-22.0326638295793,2786.58074181611,-1127.70005119736,2822.54784410437,2892.33611117825,-1083.55037356923,3060.54314746799,28.7106557303846,-20.537361541591,2661
1980,20.6615508922117,-50.9370963644846,2002.1886122822,-2466.95426171216,2247.98837631955,2447.26236173023,-1775.25231764069,2654.26576189377,24.6211766951252,-35.9572570562697,2663
1981,18.2837616284375,-60.0841630723792,1756.67745098834,-3053.00262671481,1998.7315507141,2101.96990635928,-2414.12747217775,2326.49865630394,21.4180508302412,-48.954057506753,2585
1982,15.1829700621496,-63.4227231556446,1743.32347191374,-3484.7878015375,1668.57978693146,1922.64668913651,-2949.45763685763,1997.5392216177,18.2724689889679,-56.9010981840776,2545
1983,12.0108124760859,-56.5330763545668,2088.84130598373,-3159.85683114361,1325.78137811636,2005.74399756012,-3054.65723400062,1661.66029986703,15.118500765507,-56.7103626241096,2870
1984,5.81233915963887,-53.2912900211914,2055.80879026409,-2757.20423828381,645.194682429218,2030.77639391211,-2905.93073614221,1153.42749114812,10.4305407019323,-55.0526664158881,3494
1985,8.47542656732151,-57.8217141478168,1796.68084498381,-2855.48014795582,938.991244241683,1913.72861944796,-2880.70544204902,1046.2093676949,9.45159517826829,-56.4028632862927,2915
1986,6.86720789453497,-46.2050070627544,2078.45618614623,-2167.77325363372,761.771768313154,1996.09240279709,-2524.23934784137,903.990568004029,8.15731239167257,-51.6641150115941,2860
