"","row","words_1970","n_1970","NA","words_1975","n_1975","NA","words_1980","n_1980","NA","words_1985","n_1985","NA","words_1990","n_1990","NA","words_1995","n_1995","NA","words_2000","n_2000","NA","words_2005","n_2005","NA","words_2010","n_2010","NA","words_2015","n_2015","NA"
"19",19,"pipe",108,0.00536059959299151,"u.s",146,0.00478218146085817,"patrol",336,0.0053714450146276,"bank",429,0.00637557959814529,"residence",367,0.0055964743736371,"suspected",286,0.00451624109779399,"colombia",483,0.00408875043384774,"assailants",1469,0.00561628071463253,"civilians",4804,0.00804210554510208,"baghdad",1422,0.00818426686925893
"20",20,"firebomb",102,0.00506278850449198,"offices",136,0.00445463478545693,"dynamite",315,0.00503572970121337,"power",372,0.00552847461657353,"patrol",365,0.00556597587568812,"military",283,0.00446886793942552,"district",481,0.00407181979022933,"target",1393,0.00532571751904909,"roadside",4594,0.00769055638513717,"specific",1422,0.00818426686925893
"21",21,"car",101,0.0050131533230754,"residence",131,0.00429086144775631,"building",285,0.00455613639633591,"electrical",357,0.00530555225300202,"knife",345,0.00526099089619836,"perpetrators",270,0.00426358425316216,"exploded",481,0.00407181979022933,"district",1386,0.00529895511945588,"district",4480,0.00749971541258479,"motive",1421,0.00817851140732555
"22",22,"damages",100,0.00496351814165881,"car",126,0.00412708811005568,"offices",282,0.00450817706584816,"mine",319,0.00474081559862085,"village",330,0.00503225216158104,"people",268,0.00423200214758318,"perpetrators",459,0.00388558271042674,"vehicle",1295,0.00495104392474413,"al",4310,0.0072151279973751,"al",1412,0.00812671224992518
"23",23,"dynamite",100,0.00496351814165881,"embassy",125,0.00409433344251556,"israeli",260,0.00415647530893802,"patrol",314,0.00466650814409702,"bomb",292,0.0044527807005505,"caliber",265,0.00418462898921471,"station",459,0.00388558271042674,"claim",1254,0.00479429272712675,"blast",4228,0.0070778564206269,"district",1396,0.00803462485899118
"24",24,"bombed",96,0.00476497741599246,"national",124,0.00406157877497543,"car",258,0.00412450242194619,"car",298,0.00442872428962073,"rocket",277,0.00422404196593318,"patrol",264,0.00416883793642522,"car",448,0.00379246417052544,"civilian",1167,0.00446167433218255,"injured",4222,0.00706781215891361,"civilians",1364,0.00785045007712319
"25",25,"sustained",90,0.00446716632749293,"civil",108,0.00353750409433344,"power",254,0.00406055664796253,"offices",283,0.00420580192604922,"store",272,0.00414779572106074,"injured",263,0.00415304688363573,"shot",437,0.00369934563062415,"car",1165,0.00445402793229878,"sources",3814,0.00638480236241036,"soldiers",1315,0.00756843244238783
"26",26,"station",89,0.00441753114607634,"bus",104,0.00340648542417294,"electrical",239,0.0038207599955238,"village",282,0.00419094043514445,"town",261,0.00398005398234137,"incident",244,0.00385301688063543,"attacked",436,0.00369088030881494,"province",1146,0.00438138713340292,"targeted",3790,0.00634462531555722,"police",1173,0.00675115684784861
"27",27,"center",88,0.00436789596465975,"patrol",104,0.00340648542417294,"street",234,0.00374082777804422,"private",276,0.00410177148971585,"offices",244,0.00372081674977507,"party",233,0.00367931529995105,"bus",428,0.00362315773434127,"detonated",1105,0.00422463593578553,"firearms",3368,0.00563817890838964,"explosives",1055,0.00607201233971039
"28",28,"u.s",87,0.00431826078324316,"center",102,0.0033409760890927,"embassy",225,0.00359694978658098,"street",261,0.00387884912614433,"center",234,0.00356832426003019,"attacked",204,0.00322137476905585,"militants",412,0.00348771258539393,"explosives",1087,0.00415581833683156,"improvised",3126,0.00523306035262055,"casualties",1044,0.00600870225844326
"29",29,"army",86,0.00426862560182657,"radio",99,0.00324271208647232,"store",214,0.00342109890812591,"grenade",258,0.00383426465343003,"street",232,0.00353782576208122,"bank",203,0.00320558371626636,"explosive",411,0.00347924726358473,"iraqi",1060,0.0040525919384006,"pakistan",3082,0.0051594024333898,"fire",1023,0.00588783755784239
"30",30,"school",82,0.00407008487616022,"home",98,0.0032099574189322,"vehicle",203,0.00324524802967084,"home",235,0.00349245036262038,"building",221,0.00337008402336185,"town",200,0.0031582105578979,"israeli",409,0.00346231661996631,"wounded",1047,0.00400289033915607,"patrol",3028,0.00506900407797026,"reported",983,0.0056576190805074
"31",31,"store",82,0.00407008487616022,"chief",94,0.0030789387487717,"truck",191,0.00305341070771985,"center",226,0.00335869694447747,"policeman",221,0.00337008402336185,"building",199,0.00314241950510841,"village",403,0.00341152468911106,"killing",1046,0.00399906713921418,"fire",3025,0.00506398194711361,"laden",935,0.00538135690770541
"32",32,"york",79,0.00392117933191046,"vehicle",94,0.0030789387487717,"san",190,0.00303742426422394,"party",213,0.00316549756271549,"post",212,0.00323284078259146,"islamic",195,0.00307925529395045,"soldiers",401,0.00339459404549264,"suspected",1041,0.00397995113950474,"soldiers",2850,0.00477102431380952,"village",931,0.00535833505997191
"33",33,"black",76,0.00377227378766069,"consulate",93,0.00304618408123158,"grenade",185,0.00295749204674436,"mayor",206,0.00306146712638212,"male",203,0.00309559754182107,"post",195,0.00307925529395045,"algerian",398,0.00336919808006501,"roadside",1033,0.00394936553996964,"people",2642,0.00442282324108237,"roadside",833,0.00479429979050119
"34",34,"city",73,0.00362336824341093,"military",90,0.0029479200786112,"city",181,0.0028935462727607,"building",201,0.00298715967185828,"army",196,0.00298885279899965,"colombia",190,0.003000300030003,"device",389,0.00329301018378214,"militants",1024,0.00391495674049266,"checkpoint",2579,0.0043173584930929,"bomb",791,0.00455257038929944
"35",35,"molotov",71,0.00352409788057775,"post",90,0.0029479200786112,"firearms",181,0.0028935462727607,"govt",197,0.00292771370823921,"car",195,0.00297360355002516,"mine",189,0.00298450897721351,"reported",384,0.00325068357473609,"people",1023,0.00391113354055077,"officers",2461,0.00411982134606499,"pakistan",732,0.00421299813523033
"36",36,"embassy",69,0.00342482751774458,"government",86,0.0028169014084507,"army",178,0.00284558694227295,"truck",184,0.00273451432647723,"embassy",177,0.00269911706848438,"automatic",188,0.00296871792442402,"government",376,0.00318296100026242,"injured",985,0.00376585194275905,"officer",2441,0.00408634047368738,"devices",709,0.00408062251076271
"37",37,"american",68,0.00337519233632799,"political",83,0.00271863740583033,"guard",177,0.00282960049877704,"army",182,0.0027047913446677,"pipeline",177,0.00269911706848438,"casualties",181,0.00285818055489759,"wounded",373,0.0031575650348348,"government",981,0.0037505591429915,"baghdad",2298,0.00384695223618747,"defused",702,0.00404033427722909
"38",38,"device",67,0.0033255571549114,"house",81,0.00265312807075008,"radio",176,0.00281361405528112,"bldg",168,0.00249673047200095,"military",174,0.00265336932156091,"soldiers",177,0.00279501634373964,"forces",368,0.00311523842578876,"fired",954,0.00364733274456054,"town",2185,0.00365778530725397,"discovered",696,0.00400580150562884
"39",39,"firearms",66,0.00327592197349481,"army",78,0.00255486406812971,"bridge",162,0.00258980384633831,"store",165,0.00245214599928665,"mine",172,0.00262287082361194,"exploded",172,0.00271606107979219,"province",362,0.0030644464949335,"casualties",947,0.00362057034496733,"wounded",2183,0.0036544372200162,"town",694,0.00399429058176209
"40",40,"john",66,0.00327592197349481,"de",77,0.00252210940058958,"national",162,0.00258980384633831,"branch",164,0.00243728450838188,"persons",172,0.00262287082361194,"claimed",169,0.00266868792142372,"national",352,0.00297979327684142,"shot",945,0.00361292394508356,"village",2178,0.0036460670019218,"checkpoint",684,0.00393673596242834
"41",41,"america",64,0.00317665161066164,"jose",77,0.00252210940058958,"center",161,0.00257381740284239,"rocket",158,0.00234811556295328,"train",171,0.00260762157463745,"india",167,0.00263710581584474,"security",351,0.00297132795503221,"weapons",918,0.0035096975466526,"civilian",2148,0.00359584569335539,"forces",681,0.00391946957662822
"42",42,"military",64,0.00317665161066164,"hotel",76,0.00248935473304946,"rocket",155,0.0024778987418669,"residence",156,0.00231839258114374,"truck",168,0.00256187382771399,"damage",161,0.00254235949910781,"military",350,0.002962862633223,"afghanistan",906,0.00346381914734995,"explosives",2057,0.00344350772403726,"patrol",675,0.00388493680502797
"43",43,"service",64,0.00317665161066164,"town",76,0.00248935473304946,"de",154,0.00246191229837098,"radio",154,0.00228866959933421,"leader",157,0.00239413208899462,"turkish",160,0.00252656844631832,"office",342,0.00289514005874933,"perpetrators",893,0.00341411754810541,"reported",2051,0.00343346346232397,"afghanistan",667,0.00383889310956097
"44",44,"draft",63,0.00312701642924505,"democratic",73,0.00239109073042909,"party",152,0.00242993941137915,"city",141,0.00209547021757223,"mayor",152,0.00231788584412218,"market",159,0.00251077739352883,"killing",330,0.00279355619703883,"exploded",854,0.00326501275037181,"car",2034,0.00340500472080301,"security",640,0.00368349563735985
